ID;lat;long;altitude;median_water_depth;name;description;aquifer_name;confinement
P24O5;35.371097;-77.409819;8.5325712;1.200912;Grifton Ball Field;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P24O5/;Surficial;Unconfined
P26U4;35.336736;-77.511829;22.5341688;5.138928;Savannah School;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P26U4/;Peedee;Confined
P26U7;35.336736;-77.511829;22.5524568;32.59836;Savannah School;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P26U7/;Black Creek;Confined
P26U8;35.336736;-77.511829;22.5981768;29.416248;Savannah School;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P26U8/;Upper Black Creek;Confined
P38I1;35.393419;-78.51945;62.493144;29.538168;I-40/I-95;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P38I1/;Basement rock;Unconfined
P51O1;35.37269;-79.65738;148.2239352;7.239;Williams Old Home Place;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P51O1/;Basement rock;Unconfined
P54H1;35.38378;-79.88012;163.747704;7.927848;Densons Creek Park;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P54H1/;Basement rock;Unconfined
Q15U3;35.255031;-76.595863;2.3847552;6.04266;Hobucken;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q15U3/;Castle Hayne;Confined
Q15U4;35.255031;-76.595863;1.8361152;5.510784;Hobucken;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q15U4/;Castle Hayne;Confined
Q15U5;35.255031;-76.595863;2.1470112;5.980176;Hobucken;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q15U5/;Castle Hayne;Confined
Q15U6;35.255031;-76.595863;2.1348192;1.944624;Hobucken;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q15U6/;Yorktown;Confined
Q15U7;35.255031;-76.595863;1.6776192;9.81456;Hobucken;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q15U7/;Peedee;Confined
Q15U8;35.255031;-76.595863;2.3237952;2.161032;Hobucken;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q15U8/;Surficial;Unconfined
Q16G3;35.315752;-76.727595;3.0065472;12.347448;Godley;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q16G3/;Castle Hayne;Confined
Q16G4;35.315752;-76.727595;3.0156912;12.365736;Godley;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q16G4/;Castle Hayne;Confined
Q16G5;35.315752;-76.727595;2.9821632;2.459736;Godley;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q16G5/;Yorktown;Confined
Q16G6;35.315752;-76.727595;2.9516832;1.286256;Godley;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q16G6/;Surficial;Unconfined
Q16G7;35.315752;-76.727595;3.1772352;16.197072;Godley;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q16G7/;Peedee;Confined
Q16G8;35.315752;-76.727595;3.1437072;12.431268;Godley;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q16G8/;Castle Hayne;Confined
Q17D1;35.3261;-76.803341;1.915668;12.652248;Aurora II;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q17D1/;Castle Hayne;Confined
Q17D2;35.3261;-76.803341;1.900428;0.597408;Aurora II;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q17D2/;Surficial;Unconfined
Q17D3;35.3261;-76.803341;1.848612;0.44196;Aurora II;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q17D3/;Yorktown;Confined
Q17D4;35.3261;-76.803341;1.82118;9.863328;Aurora II;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q17D4/;Black Creek;Confined
Q17D5;35.3261;-76.803341;1.537716;12.813792;Aurora II;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q17D5/;Beaufort;Confined
Q25D11;35.327137;-77.478071;18.693384;3.229356;Graingers;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q25D11/;Surficial;Unconfined
Q25D12;35.327137;-77.478071;18.635472;11.94816;Graingers;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q25D12/;Peedee;Confined
Q27R10;35.269344;-77.618238;13.0106928;5.559552;Kinston Yard;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q27R10/;Peedee;Confined
Q27R4;35.269344;-77.618238;13.1295648;4.978908;Kinston Yard;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q27R4/;Peedee;Confined
Q27R5;35.269344;-77.618238;13.2606288;18.022824;Kinston Yard;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q27R5/;Black Creek;Confined
Q27R6;35.269344;-77.618238;13.2057648;17.413224;Kinston Yard;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q27R6/;Black Creek;Confined
Q27R7;35.269344;-77.618238;13.3581648;16.789908;Kinston Yard;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q27R7/;Black Creek;Confined
Q29I1;35.310242;-77.778333;29.29128;3.651504;La Grange;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q29I1/;Surficial;Unconfined
Q29I2;35.310242;-77.778333;29.2473888;4.532376;La Grange;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q29I2/;Upper Black Creek (Kubc);Confined
Q29I3;35.310242;-77.778333;29.163264;26.450544;La Grange;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q29I3/;Black Creek;Confined
Q29I4;35.310242;-77.778333;28.959048;27.870912;La Grange;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q29I4/;Upper Cape Fear;Confined
Q30R1;35.28194;-77.8708;19.8052944;16.70304;Spring Creek Elementary School;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q30R1/;Upper Cape Fear (Kucf);Confined
Q30R2;35.28194;-77.8708;19.8632064;2.237232;Spring Creek Elementary School;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q30R2/;Black Creek (Kbc);Confined
Q30R3;35.28194;-77.8708;19.7229984;3.304032;Spring Creek Elementary School;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q30R3/;Black Creek (Kbc);Confined
Q30R4;35.28194;-77.8708;19.8997824;3.730752;Spring Creek Elementary School;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q30R4/;Surficial (S);Unconfined
Q51N1;35.29;-79.65;203.170536;10.366248;Williams Tenant House;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q51N1/;Surficial;Unconfined
Q66C1;35.318611;-80.875555;218.614752;1.450848;Hornets Nest Park;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q66C1/;Basement saprolite;Unconfined
Q94I1;35.31352;-83.1871;633.8401344;0.841248;CC Old Well;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q94I1/;Basement saprolite;Unconfined
Q94J1;35.31221;-83.1806;656.636736;5.54736;Stillwell Building;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/Q94J1/;Basement rock;Unconfined
R102P1;35.187315;-83.913966;521.735304;9.124188;Marble;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R102P1/;Basement rock;Unconfined
R102P2;35.189214;-83.913877;523.0645368;2.029968;Marble Substation;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R102P2/;Basement saprolite;Unconfined
R17I1;35.219985;-76.773926;3.7898832;2.69748;Bay City;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R17I1/;Surficial;Unconfined
R17I2;35.219985;-76.773926;3.85572;9.116568;Bay City;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R17I2/;Castle Hayne;Confined
R17I3;35.219985;-76.773926;3.8721792;9.412224;Bay City;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R17I3/;Castle Hayne;Confined
R23X10;35.172305;-77.311178;13.4252208;25.54224;Cove City;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R23X10/;Lower Cape Fear;Confined
R23X2;35.172305;-77.311178;13.4922768;1.72212;Cove City;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R23X2/;Castle Hayne;Confined
R23X4;35.172305;-77.311178;13.4861808;9.314688;Cove City;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R23X4/;Peedee;Confined
R23X5;35.172305;-77.311178;13.6568688;1.807464;Cove City;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R23X5/;Surficial;Unconfined
